"vacina_dataaplicacao","paciente_endereco_nmmunicipio","_col2"
"2021-03-18","JUNDIAI","395"
"2021-10-05","MARINGA","5"
"2021-01-24","SANTA LUZIA","33"
"2021-09-04","SANTA LUZIA","298"
"2021-07-03","SANTA LUZIA","76"
"2021-09-04","FEIRA DE SANTANA","83"
"2021-05-29","FEIRA DE SANTANA","63"
"2021-05-27","NITEROI","4714"
"2021-06-12","DIVINOPOLIS","353"
"2021-08-07","NITEROI","697"
"2021-02-19","MARINGA","342"
"2021-04-08","JUNDIAI","319"
"2021-02-08","RIBEIRAO PRETO","739"
"2021-06-15","MARINGA","4599"
"2021-02-11","SANTA MARIA","2891"
"2021-05-08","DIVINOPOLIS","439"
"2021-07-20","RIBEIRAO PRETO","2770"
"2021-06-19","SANTA MARIA","3873"
"2021-01-28","RIBEIRAO PRETO","706"
"2021-03-25","ACAILANDIA","129"
"2021-04-22","ACAILANDIA","126"
"2021-04-22","SANTA MARIA","9382"
"2021-03-22","SANTA MARIA","409"
"2021-03-11","PETROLINA","250"
"2021-02-14","PETROLINA","60"
"2021-03-17","JUNDIAI","806"
"2021-06-27","NITEROI","35"
"2021-09-28","FEIRA DE SANTANA","12"
"2021-09-25","RIBEIRAO PRETO","6"
"2021-03-10","ACAILANDIA","32"
"2021-05-30","JUNDIAI","14"
"2021-01-24","FEIRA DE SANTANA","15"
"2021-02-07","DIVINOPOLIS","2"
"2021-01-17","RIBEIRAO PRETO","1"
"2021-09-19","SANTA LUZIA","4"
"2021-10-02","NITEROI","569"
"2021-04-30","RIBEIRAO PRETO","1555"
"2021-07-30","MARINGA","2153"
"2021-06-22","SANTA LUZIA","739"
"2021-03-04","JUNDIAI","1002"
"2021-05-10","DIVINOPOLIS","677"
"2021-08-01","PETROLINA","475"
"2021-05-29","MARINGA","93"
"2021-09-23","SANTA MARIA","953"
"2021-04-17","PETROLINA","377"
"2021-03-16","MARINGA","205"
"2021-02-18","PETROLINA","156"
"2021-09-08","FEIRA DE SANTANA","235"
"2021-10-07","RIBEIRAO PRETO","7"
"2021-08-29","MARINGA","21"
"2021-08-16","RIBEIRAO PRETO","4716"
"2021-09-10","PETROLINA","730"
"2021-09-15","ACAILANDIA","631"
"2021-08-01","MARINGA","26"
"2021-08-15","DIVINOPOLIS","15"
"2021-06-13","NITEROI","17"
"2021-02-06","SANTA LUZIA","11"
"2021-06-24","NITEROI","4247"
"2021-02-25","NITEROI","901"
"2021-09-18","NITEROI","622"
"2021-01-23","NITEROI","255"
"2021-08-24","ACAILANDIA","239"
"2021-06-17","FEIRA DE SANTANA","1547"
"2021-07-06","PETROLINA","1367"
"2021-07-23","PETROLINA","1412"
"2021-05-07","JUNDIAI","1352"
"2021-03-26","PETROLINA","854"
"2021-03-11","DIVINOPOLIS","416"
"2021-04-16","MARINGA","527"
"2021-04-14","FEIRA DE SANTANA","799"
"2021-08-14","SANTA MARIA","8126"
"2021-07-11","SANTA LUZIA","5"
"2021-03-07","NITEROI","4"
"2021-09-27","FEIRA DE SANTANA","4"
"2021-10-15","SANTA LUZIA","10"
"2021-09-28","PETROLINA","4"
"2021-10-15","PETROLINA","2"
"2021-10-08","PETROLINA","2"
"2021-08-22","NITEROI","11"
"2021-06-14","NITEROI","5007"
"2021-03-18","NITEROI","3251"
"2021-08-24","JUNDIAI","1138"
"2021-07-16","DIVINOPOLIS","486"
"2021-08-09","MARINGA","2839"
"2021-05-18","DIVINOPOLIS","442"
"2021-04-15","JUNDIAI","533"
"2021-05-01","MARINGA","158"
"2021-04-23","SANTA MARIA","401"
"2021-09-29","SANTA MARIA","202"
"2021-03-05","SANTA LUZIA","236"
"2021-04-25","NITEROI","21"
"2021-08-19","MARINGA","3290"
"2021-10-14","RIBEIRAO PRETO","11"
"2021-10-16","PETROLINA","1"
"2021-02-07","RIBEIRAO PRETO","22"
"2021-08-08","SANTA LUZIA","5"
"2021-01-31","MARINGA","3"
"2021-08-27","DIVINOPOLIS","1327"
"2021-06-24","RIBEIRAO PRETO","3345"
"2021-06-11","JUNDIAI","916"
"2021-05-21","DIVINOPOLIS","850"
"2021-07-31","JUNDIAI","3341"
"2021-07-30","DIVINOPOLIS","668"
"2021-02-24","JUNDIAI","100"
"2021-02-18","SANTA MARIA","960"
"2021-04-07","FEIRA DE SANTANA","846"
"2021-03-30","RIBEIRAO PRETO","1318"
"2021-08-10","PETROLINA","1375"
"2021-06-16","SANTA LUZIA","1058"
"2021-05-07","MARINGA","380"
"2021-02-03","PETROLINA","67"
"2021-08-30","DIVINOPOLIS","443"
"2021-01-26","MARINGA","244"
"2021-03-21","SANTA MARIA","25"
"2021-09-24","DIVINOPOLIS","42"
"2021-09-17","DIVINOPOLIS","1207"
"2021-09-05","RIBEIRAO PRETO","15"
"2021-04-11","SANTA MARIA","13"
"2021-07-07","NITEROI","7918"
"2021-04-27","NITEROI","7092"
"2021-08-11","NITEROI","7019"
"2021-06-07","NITEROI","4683"
"2021-04-07","SANTA LUZIA","1184"
"2021-04-06","RIBEIRAO PRETO","1973"
"2021-07-08","RIBEIRAO PRETO","3219"
"2021-08-03","JUNDIAI","2699"
"2021-06-29","PETROLINA","326"
"2021-05-19","JUNDIAI","979"
"2021-08-10","FEIRA DE SANTANA","2781"
"2021-06-02","FEIRA DE SANTANA","430"
"2021-05-05","FEIRA DE SANTANA","896"
"2021-06-01","JUNDIAI","1122"
"2021-02-15","ACAILANDIA","77"
"2021-03-04","RIBEIRAO PRETO","968"
"2021-06-05","FEIRA DE SANTANA","186"
"2021-09-25","SANTA MARIA","3316"
"2021-02-13","SANTA MARIA","85"
"2021-03-29","DIVINOPOLIS","508"
"2021-08-17","PETROLINA","3126"
"2021-08-19","JUNDIAI","3334"
"2021-08-15","MARINGA","83"
"2021-10-11","SANTA LUZIA","3"
"2021-04-04","FEIRA DE SANTANA","14"
"2021-09-30","PETROLINA","1"
"2021-02-13","DIVINOPOLIS","8"
"2021-03-21","DIVINOPOLIS","1"
"2021-07-09","NITEROI","8085"
"2021-06-22","NITEROI","6298"
"2021-04-20","PETROLINA","830"
"2021-05-07","SANTA LUZIA","501"
"2021-07-03","PETROLINA","921"
"2021-04-21","JUNDIAI","1917"
"2021-06-22","DIVINOPOLIS","1223"
"2021-08-07","JUNDIAI","3021"
"2021-05-29","PETROLINA","757"
"2021-04-08","PETROLINA","1033"
"2021-04-07","MARINGA","137"
"2021-04-05","ACAILANDIA","107"
"2021-05-17","FEIRA DE SANTANA","482"
"2021-09-30","MARINGA","11"
"2021-04-18","FEIRA DE SANTANA","40"
"2021-01-24","PETROLINA","16"
"2021-10-06","PETROLINA","3"
"2021-05-23","FEIRA DE SANTANA","5"
"2021-03-06","ACAILANDIA","8"
"2021-10-12","FEIRA DE SANTANA","1"
"2021-09-10","NITEROI","7146"
"2021-05-26","NITEROI","5676"
"2021-02-24","MARINGA","140"
"2021-04-27","RIBEIRAO PRETO","1831"
"2021-08-03","MARINGA","3921"
"2021-05-24","RIBEIRAO PRETO","2174"
"2021-07-13","MARINGA","469"
"2021-05-18","SANTA MARIA","2012"
"2021-06-05","MARINGA","153"
"2021-05-02","MARINGA","2618"
"2021-05-26","JUNDIAI","914"
"2021-02-16","SANTA LUZIA","119"
"2021-09-16","SANTA MARIA","2561"
"2021-04-23","DIVINOPOLIS","810"
"2021-03-22","RIBEIRAO PRETO","255"
"2021-09-17","RIBEIRAO PRETO","4014"
"2021-08-21","DIVINOPOLIS","723"
"2021-07-18","NITEROI","22"
"2021-02-05","MARINGA","331"
"2021-10-01","MARINGA","12"
"2021-02-08","DIVINOPOLIS","31"
"2021-02-12","ACAILANDIA","29"
"2021-08-22","SANTA LUZIA","117"
"2021-09-03","DIVINOPOLIS","538"
"2021-04-27","DIVINOPOLIS","34"
"2021-03-28","FEIRA DE SANTANA","57"
"2021-10-06","SANTA LUZIA","3"
"2021-06-10","PETROLINA","878"
"2021-03-03","SANTA LUZIA","555"
"2021-08-04","JUNDIAI","1240"
"2021-07-17","SANTA LUZIA","81"
"2021-03-15","JUNDIAI","574"
"2021-06-28","PETROLINA","355"
"2021-03-29","RIBEIRAO PRETO","1351"
"2021-07-15","ACAILANDIA","368"
"2021-10-09","RIBEIRAO PRETO","5"
"2021-06-27","JUNDIAI","35"
"2021-01-19","MARINGA","27"
"2021-04-19","PETROLINA","256"
"2021-07-03","FEIRA DE SANTANA","174"
"2021-06-06","ACAILANDIA","9"
"2021-02-21","ACAILANDIA","8"
"2021-09-29","DIVINOPOLIS","4"
"2021-09-04","PETROLINA","1020"
"2021-10-02","DIVINOPOLIS","4"
"2021-03-21","SANTA LUZIA","1"
"2021-08-04","NITEROI","7285"
"2021-08-04","RIBEIRAO PRETO","3656"
"2021-07-20","MARINGA","1143"
"2021-07-23","FEIRA DE SANTANA","1396"
"2021-05-15","PETROLINA","241"
"2021-04-27","ACAILANDIA","154"
"2021-05-12","FEIRA DE SANTANA","844"
"2021-07-01","ACAILANDIA","182"
"2021-01-25","RIBEIRAO PRETO","1332"
"2021-05-10","ACAILANDIA","215"
"2021-05-05","DIVINOPOLIS","656"
"2021-08-05","MARINGA","712"
"2021-10-13","RIBEIRAO PRETO","13"
"2021-07-27","SANTA MARIA","2800"
"2021-03-30","DIVINOPOLIS","485"
"2021-01-29","PETROLINA","165"
"2021-08-07","RIBEIRAO PRETO","224"
"2021-02-01","SANTA LUZIA","121"
"2021-04-12","ACAILANDIA","144"
"2021-02-25","JUNDIAI","37"
"2021-02-04","SANTA LUZIA","202"
"2021-10-13","JUNDIAI","9"
"2021-09-04","JUNDIAI","3578"
"2021-05-31","FEIRA DE SANTANA","331"
"2021-04-30","ACAILANDIA","105"
"2021-09-26","SANTA MARIA","5"
"2021-09-28","JUNDIAI","9"
"2021-06-05","ACAILANDIA","20"
"2021-02-21","DIVINOPOLIS","1"
"2021-01-18","SANTA LUZIA","2"
"2021-09-17","NITEROI","7165"
"2021-08-25","JUNDIAI","1302"
"2021-08-26","SANTA LUZIA","1115"
"2021-03-24","MARINGA","1290"
"2021-03-27","SANTA LUZIA","74"
"2021-05-04","RIBEIRAO PRETO","624"
"2021-03-19","SANTA LUZIA","144"
"2021-08-26","PETROLINA","1259"
"2021-10-15","JUNDIAI","4"
"2021-01-31","ACAILANDIA","32"
"2021-09-05","PETROLINA","917"
"2021-05-09","RIBEIRAO PRETO","11"
,"RIBEIRAO PRETO","1"
"2021-01-18","PETROLINA","1"
"2021-05-21","NITEROI","4218"
"2021-06-21","NITEROI","6400"
"2021-05-24","NITEROI","3913"
"2021-02-11","NITEROI","3196"
"2021-07-17","NITEROI","1337"
"2021-07-06","FEIRA DE SANTANA","5627"
"2021-03-31","DIVINOPOLIS","570"
"2021-06-25","PETROLINA","407"
"2021-08-12","DIVINOPOLIS","1063"
"2021-05-26","SANTA MARIA","867"
"2021-04-09","SANTA MARIA","3842"
"2021-08-12","SANTA MARIA","3371"
"2021-07-10","PETROLINA","341"
"2021-02-28","SANTA MARIA","11"
"2021-06-19","DIVINOPOLIS","812"
"2021-01-27","JUNDIAI","176"
"2021-08-24","SANTA LUZIA","851"
"2021-04-09","DIVINOPOLIS","1051"
"2021-05-24","ACAILANDIA","78"
"2021-02-27","SANTA LUZIA","5"
"2021-09-03","ACAILANDIA","539"
"2021-03-14","SANTA LUZIA","5"
"2021-03-29","NITEROI","7451"
